"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Jul-2025","EQ","1,735.00","1,749.00","1,685.00","1,747.20","1,686.00","1,688.70","1,708.13","2,989.00","1,047.45","32,50,994","5,55,31,23,624.50","1,23,276"
"10-Jul-2025","EQ","1,764.00","1,784.80","1,743.10","1,761.50","1,747.20","1,747.20","1,762.04","2,989.00","1,047.45","20,45,231","3,60,37,77,399.80","59,898"
"09-Jul-2025","EQ","1,755.00","1,769.70","1,750.10","1,754.10","1,762.00","1,761.50","1,762.63","2,989.00","1,047.45","18,46,080","3,25,39,54,885.20","54,674"
"08-Jul-2025","EQ","1,783.00","1,794.90","1,722.30","1,778.50","1,754.10","1,754.10","1,752.21","2,989.00","1,047.45","46,84,269","8,20,78,23,148.80","1,36,797"
"07-Jul-2025","EQ","1,761.80","1,790.00","1,743.40","1,762.50","1,778.90","1,778.50","1,775.84","2,989.00","1,047.45","27,06,713","4,80,66,89,572.70","84,880"
"04-Jul-2025","EQ","1,805.00","1,805.00","1,726.70","1,804.90","1,763.40","1,762.50","1,762.28","2,989.00","1,047.45","54,59,008","9,62,02,81,551.40","1,67,259"
"03-Jul-2025","EQ","1,780.50","1,809.80","1,764.70","1,779.00","1,805.00","1,804.90","1,795.56","2,989.00","1,047.45","32,53,951","5,84,26,64,378.40","85,499"
"02-Jul-2025","EQ","1,794.60","1,814.00","1,763.00","1,797.50","1,778.50","1,779.00","1,787.57","2,989.00","1,047.45","30,75,273","5,49,72,63,943.00","90,311"
"01-Jul-2025","EQ","1,804.00","1,809.00","1,773.70","1,794.00","1,795.70","1,797.50","1,794.23","2,989.00","1,047.45","36,19,853","6,49,48,62,990.30","87,295"
"30-Jun-2025","EQ","1,768.00","1,812.00","1,764.00","1,760.50","1,796.00","1,794.00","1,793.84","2,989.00","1,047.45","50,84,031","9,11,99,47,987.50","1,36,943"
"27-Jun-2025","EQ","1,750.00","1,797.50","1,750.00","1,746.80","1,764.40","1,760.50","1,775.37","2,989.00","1,047.45","46,79,966","8,30,86,85,940.70","1,40,044"
"26-Jun-2025","EQ","1,749.00","1,755.00","1,726.10","1,744.30","1,752.00","1,746.80","1,741.78","2,989.00","1,047.45","28,40,860","4,94,81,52,265.60","87,852"
"25-Jun-2025","EQ","1,756.80","1,782.00","1,740.70","1,748.50","1,743.20","1,744.30","1,765.26","2,989.00","1,047.45","41,28,802","7,28,84,24,370.20","1,09,597"
"24-Jun-2025","EQ","1,755.00","1,764.20","1,728.00","1,723.30","1,748.50","1,748.50","1,748.20","2,989.00","1,047.45","55,72,107","9,74,11,29,885.90","1,34,899"
"23-Jun-2025","EQ","1,675.00","1,740.00","1,665.00","1,685.80","1,724.00","1,723.30","1,709.51","2,989.00","1,047.45","73,33,258","12,53,62,82,301.20","1,82,364"
"20-Jun-2025","EQ","1,636.00","1,688.90","1,632.70","1,637.80","1,688.20","1,685.80","1,672.04","2,989.00","1,047.45","31,25,164","5,22,53,98,070.70","93,877"
"19-Jun-2025","EQ","1,678.90","1,685.90","1,635.00","1,680.30","1,639.90","1,637.80","1,656.41","2,989.00","1,047.45","27,40,650","4,53,96,45,472.00","90,021"
"18-Jun-2025","EQ","1,683.90","1,702.60","1,672.30","1,686.80","1,676.00","1,680.30","1,686.07","2,989.00","1,047.45","25,74,935","4,34,15,17,781.50","74,237"
"17-Jun-2025","EQ","1,690.30","1,723.90","1,677.00","1,682.60","1,687.00","1,686.80","1,700.41","2,989.00","1,047.45","53,65,587","9,12,37,00,017.70","1,51,321"
"16-Jun-2025","EQ","1,650.00","1,686.00","1,625.00","1,659.70","1,685.00","1,682.60","1,658.74","2,989.00","1,047.45","45,31,283","7,51,62,39,016.20","1,41,067"
"13-Jun-2025","EQ","1,595.00","1,668.90","1,590.70","1,644.20","1,661.00","1,659.70","1,642.39","2,989.00","1,047.45","61,76,138","10,14,35,98,041.20","1,85,531"
"12-Jun-2025","EQ","1,728.00","1,728.00","1,636.10","1,739.40","1,644.50","1,644.20","1,671.00","2,989.00","1,047.45","81,69,499","13,65,12,04,506.90","2,79,114"
"11-Jun-2025","EQ","1,789.00","1,798.80","1,715.80","1,787.20","1,738.00","1,739.40","1,747.08","2,989.00","1,047.45","76,68,758","13,39,79,18,928.70","2,64,572"
"10-Jun-2025","EQ","1,802.10","1,828.90","1,783.10","1,793.50","1,789.00","1,787.20","1,805.47","2,989.00","1,047.45","44,28,584","7,99,56,55,174.40","1,36,277"
