iter	Passed	Remaining
0	154	154317
1	159	79716
2	164	54627
3	169	42088
4	174	34641
5	178	29608
6	183	25984
7	187	23281
8	192	21198
9	197	19505
10	201	18127
11	206	16987
12	210	16012
13	215	15175
14	220	14447
15	224	13796
16	228	13214
17	232	12683
18	236	12205
19	239	11721
20	243	11355
21	245	10922
22	247	10521
23	249	10157
24	251	9818
25	253	9487
26	254	9185
27	256	8907
28	258	8647
29	259	8398
30	261	8160
31	262	7938
32	263	7729
33	265	7532
34	266	7343
35	267	7165
36	268	6994
37	269	6831
38	270	6676
39	272	6529
40	273	6389
41	274	6256
42	275	6127
43	276	6003
44	277	5884
45	278	5770
46	279	5660
47	280	5556
48	281	5455
49	282	5359
50	283	5267
51	284	5178
52	284	5092
53	285	5009
54	286	4929
55	287	4852
56	288	4777
57	289	4706
58	290	4636
59	291	4570
60	292	4504
61	293	4441
62	295	4394
63	296	4335
64	297	4278
65	298	4221
66	299	4167
67	300	4114
68	301	4063
69	302	4013
70	303	3965
71	304	3919
72	305	3873
73	306	3829
74	306	3786
75	308	3747
76	309	3709
77	310	3671
78	311	3634
79	312	3597
80	313	3560
81	314	3526
82	315	3485
83	316	3450
84	317	3416
85	318	3383
86	319	3350
87	320	3318
88	321	3287
89	322	3255
90	322	3226
91	323	3197
92	324	3169
93	325	3140
94	326	3113
95	327	3086
96	328	3059
97	329	3033
98	330	3008
99	331	2983
100	332	2959
101	333	2935
102	334	2912
103	335	2889
104	336	2867
105	337	2845
106	338	2823
107	339	2802
108	340	2781
109	341	2761
110	342	2741
111	343	2721
112	344	2701
113	345	2682
114	346	2663
115	347	2644
116	347	2624
117	348	2606
118	349	2588
119	350	2571
120	351	2554
121	352	2535
122	353	2519
123	354	2502
124	355	2486
125	356	2471
126	357	2454
127	358	2439
128	359	2424
129	360	2409
130	361	2394
131	361	2379
132	362	2365
133	363	2351
134	365	2344
135	366	2330
136	367	2317
137	368	2304
138	369	2291
139	370	2277
140	371	2265
141	372	2250
142	373	2238
143	374	2225
144	375	2213
145	376	2200
146	377	2189
147	378	2177
148	379	2165
149	380	2154
150	381	2142
151	382	2131
152	383	2120
153	383	2109
154	385	2098
155	385	2088
156	386	2077
157	387	2066
158	388	2056
159	389	2046
160	390	2034
161	391	2024
162	392	2014
163	393	2004
164	394	1995
165	395	1985
166	396	1975
167	397	1966
168	397	1956
169	398	1947
170	399	1938
171	400	1929
172	401	1920
173	402	1912
174	403	1903
175	404	1894
176	405	1886
177	406	1877
178	407	1869
179	408	1861
180	409	1853
181	410	1844
182	411	1836
183	412	1828
184	413	1820
185	414	1812
186	415	1804
187	416	1797
188	417	1789
189	417	1781
190	418	1774
191	419	1766
192	420	1759
193	421	1752
194	422	1744
195	423	1737
196	424	1730
197	425	1723
198	426	1716
199	427	1709
200	428	1703
201	429	1696
202	430	1689
203	431	1682
204	432	1676
205	433	1669
206	434	1663
207	435	1657
208	436	1651
209	437	1644
210	438	1638
211	439	1632
212	440	1626
213	441	1619
214	442	1613
215	442	1607
216	443	1601
217	444	1595
218	445	1589
219	446	1583
220	447	1578
221	448	1572
222	449	1566
223	450	1561
224	451	1555
225	452	1549
226	453	1544
227	454	1538
228	455	1533
229	456	1527
230	457	1522
231	458	1517
232	459	1511
233	460	1506
234	461	1501
235	462	1496
236	463	1491
237	464	1486
238	465	1480
239	465	1475
240	466	1470
241	467	1465
242	468	1460
243	469	1455
244	470	1450
245	471	1445
246	472	1440
247	473	1435
248	474	1430
249	475	1425
250	476	1423
251	477	1418
252	478	1413
253	479	1408
254	480	1404
255	481	1399
256	482	1394
257	483	1390
258	484	1386
259	485	1381
260	486	1377
261	487	1372
262	488	1368
263	489	1364
264	490	1360
265	491	1356
266	492	1352
267	493	1347
268	494	1343
269	495	1338
270	496	1334
271	497	1330
272	498	1327
273	499	1322
274	500	1318
275	501	1314
276	502	1310
277	503	1306
278	504	1302
279	505	1298
280	505	1294
281	506	1290
282	507	1286
283	508	1282
284	509	1278
285	510	1274
286	511	1270
287	512	1267
288	513	1263
289	514	1259
290	515	1255
291	516	1251
292	517	1248
293	518	1244
294	519	1240
295	520	1237
296	521	1233
297	522	1229
298	523	1226
299	523	1222
300	524	1219
301	525	1215
302	526	1211
303	527	1208
304	528	1204
305	529	1201
306	530	1197
307	531	1194
308	532	1190
309	533	1187
310	534	1184
311	535	1180
312	536	1177
313	537	1173
314	538	1170
315	539	1167
316	540	1163
317	541	1160
318	542	1157
319	543	1154
320	544	1150
321	544	1147
322	545	1144
323	546	1140
324	547	1138
325	548	1134
326	549	1131
327	550	1128
328	551	1125
329	552	1122
330	553	1118
331	554	1115
332	555	1112
333	556	1109
334	557	1106
335	558	1103
336	559	1100
337	560	1097
338	561	1094
339	562	1091
340	563	1088
341	563	1085
342	564	1081
343	565	1078
344	566	1076
345	567	1073
346	568	1070
347	569	1067
348	570	1064
349	571	1061
350	572	1058
351	573	1055
352	574	1052
353	575	1050
354	576	1047
355	577	1044
356	578	1041
357	579	1038
358	580	1035
359	581	1032
360	581	1030
361	582	1027
362	583	1024
363	584	1021
364	585	1019
365	586	1016
366	587	1013
367	588	1011
368	589	1008
369	590	1005
370	591	1002
371	592	1000
372	593	997
373	594	994
374	595	992
375	596	989
376	597	986
377	598	984
378	599	981
379	600	979
380	601	976
381	601	973
382	602	971
383	603	968
384	604	966
385	606	963
386	606	961
387	607	958
388	608	956
389	609	953
390	610	951
391	611	948
392	612	946
393	613	943
394	614	941
395	615	938
396	616	936
397	617	933
398	618	931
399	619	928
400	620	926
401	621	924
402	622	921
403	623	919
404	624	916
405	625	914
406	626	912
407	626	909
408	627	907
409	628	904
410	629	902
411	630	900
412	631	897
413	632	895
414	633	893
415	634	890
416	635	888
417	636	886
418	637	883
419	638	881
420	639	879
421	640	877
422	641	875
423	642	872
424	643	870
425	644	868
426	645	866
427	646	863
428	647	861
429	648	859
430	649	857
431	650	854
432	651	852
433	652	850
434	653	848
435	654	846
436	655	844
437	656	842
438	657	839
439	658	837
440	659	835
441	660	833
442	660	831
443	661	828
444	662	826
445	663	824
446	664	822
447	665	820
448	666	818
449	667	816
450	668	814
451	670	812
452	671	810
453	672	808
454	673	806
455	674	804
456	675	802
457	676	800
458	676	797
459	677	795
460	678	793
461	679	791
462	680	789
463	681	787
